ano,raw_present,quality_manifest_present,quality_status,parser_version,linhas_normalized,campos,datas_invalidas,datas_fora_do_ano,escopo_semantico,certificacao,excecao
1986,SIM,SIM,VALIDADO,1.1.0,177981,25,0,0,"EXCEÇÃO_HISTÓRICA_CONTROLADA",CERTIFICADO_NORMALIZAÇÃO_COM_EXCEÇÃO_SEMÂNTICA,"Investigação semântica histórica encerrada operacionalmente como exceção controlada"
1987,SIM,SIM,VALIDADO,1.1.0,130665,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
1988,SIM,SIM,VALIDADO,1.1.0,167674,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
1989,SIM,SIM,VALIDADO,1.1.0,152236,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
1990,SIM,SIM,VALIDADO,1.1.0,108626,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
1991,SIM,SIM,VALIDADO,1.1.0,110835,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
1992,SIM,SIM,VALIDADO,1.1.0,105918,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
1993,SIM,SIM,VALIDADO,1.1.0,116198,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
1994,SIM,SIM,VALIDADO,1.1.0,119097,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
1995,SIM,SIM,VALIDADO,1.1.0,104791,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
1996,SIM,SIM,VALIDADO,1.1.0,110685,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
1997,SIM,SIM,VALIDADO,1.1.0,119272,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
1998,SIM,SIM,VALIDADO,1.1.0,104971,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
1999,SIM,SIM,VALIDADO,1.1.0,129841,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
2000,SIM,SIM,VALIDADO,1.1.0,153682,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
2001,SIM,SIM,VALIDADO,1.1.0,141848,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
2002,SIM,SIM,VALIDADO,1.1.0,129973,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
2003,SIM,SIM,VALIDADO,1.1.0,148112,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
2004,SIM,SIM,VALIDADO,1.1.0,166937,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
2005,SIM,SIM,VALIDADO,1.1.0,181408,25,0,0,"NÃO CERTIFICADO NESTA MATRIZ",CERTIFICADO_NORMALIZAÇÃO,""
